plant_num	PrairieName	grwthstg	vigor	leaf_rust	Rust_response	stem_rust	Leaf_blotch	viral_symptoms	notes_AUG2020	Region	Year	Prairie	notes_sept2020	notes_sept2019	notes_July_2019	notes_aug1st_2019	Trip_number	viral_percent
1	Ogg	6.9	6	0	0	0	1	3	NA	C	2020	C2	NA	NA	NA	NA	3	NA
2	Ogg	NA	3	0	0	0	0.5	2	NA	C	2020	C2	NA	NA	NA	NA	3	NA
3	Ogg	7.1	4	0.01	2	0	2	2	NA	C	2020	C2	NA	NA	NA	NA	3	NA
4	Ogg	7.3	4	0	0	0	0	2	NA	C	2020	C2	NA	NA	NA	NA	3	NA
5	Ogg	7.1	4	0	0	0	0	2	NA	C	2020	C2	NA	NA	NA	NA	3	NA
6	Ogg	7.3	4	0	0	0	0	3	downymildew5	C	2020	C2	NA	NA	NA	NA	3	NA
7	Ogg	7.7	5	0	0	0	0	1	NA	C	2020	C2	NA	NA	NA	NA	3	NA
8	Ogg	8.4	5	0	0	0	0.5	2	NA	C	2020	C2	NA	NA	NA	NA	3	NA
9	Ogg	4.1	5	0	0	0	0	3	ama(apicalmeristemabortion)	C	2020	C2	NA	NA	NA	NA	3	NA
10	Ogg	7	4	0	0	0	0	3	NA	C	2020	C2	NA	NA	NA	NA	3	NA
11	Ogg	6.9	0	0	0	0	0	2	NA	C	2020	C2	NA	NA	NA	NA	3	NA
12	Ogg	6.9	5	0.01	2	0	0	4	NA	C	2020	C2	NA	NA	NA	NA	3	NA
13	Ogg	8.3	5	0.1	2	0.1	0	2	NA	C	2020	C2	NA	NA	NA	NA	3	NA
14	Ogg	8.5	6	0	0	0	0	4	seedcollected	C	2020	C2	NA	NA	NA	NA	3	NA
15	Ogg	7.5	6	0.1	2	0.1	0	2	seedcollected	C	2020	C2	NA	NA	NA	NA	3	NA
16	Ogg	7.1	6	0	0	0	0.5	5	NA	C	2020	C2	NA	NA	NA	NA	3	NA
17	Ogg	7.9	5	0	0	0	0	3	NA	C	2020	C2	NA	NA	NA	NA	3	NA
18	Ogg	8.5	6	0	0	0	0	2	NA	C	2020	C2	NA	NA	NA	NA	3	NA
19	Ogg	6.9	4	0	0	0	0	2	NA	C	2020	C2	NA	NA	NA	NA	3	NA
20	Ogg	4.1	4	0	0	0	0	3	hcw(headclippingwevels)	C	2020	C2	NA	NA	NA	NA	3	NA
1	PrairiePark	NA	0	NA	NA	NA	NA	NA	NA	C	2020	C1	NA	NA	NA	NA	3	NA
2	PrairiePark	NA	3	0.5	2	0.1	0.1	1	NA	C	2020	C1	NA	NA	NA	NA	3	NA
3	PrairiePark	NA	2	0.1	2	0.1	0.1	1	NA	C	2020	C1	NA	NA	NA	NA	3	NA
4	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
5	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
6	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
7	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
8	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
9	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
10	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
11	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
12	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
13	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
14	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
15	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
16	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
17	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
18	PrairiePark	NA	0	NA	NA	NA	NA	NA	mortalitiesduetomowing	C	2020	C1	NA	NA	NA	NA	3	NA
19	PrairiePark	NA	2	0	0	0	30	NA	NA	C	2020	C1	NA	NA	NA	NA	3	NA
20	PrairiePark	NA	2	0	0	0	20	NA	NA	C	2020	C1	NA	NA	NA	NA	3	NA
1	KillCreek	7.1	6	0.1	2	1	2	1	NA	C	2020	C3	NA	NA	NA	NA	3	NA
2	KillCreek	7.3	5	0.1	2	0.1	5	2	NA	C	2020	C3	NA	NA	NA	NA	3	NA
3	KillCreek	8.2	5	0	0	0	1	1	NA	C	2020	C3	NA	NA	NA	NA	3	NA
4	KillCreek	6.9	4	0	0	0	1	1	NA	C	2020	C3	NA	NA	NA	NA	3	NA
5	KillCreek	NA	NA	NA	NA	NA	NA	NA	tooclosetoothers	C	2020	C3	NA	NA	NA	NA	3	NA
6	KillCreek	NA	NA	NA	NA	NA	NA	NA	NA	C	2020	C3	NA	NA	NA	NA	3	NA
7	KillCreek	8.5	4	0	0	0	0	2	downymildrew.5	C	2020	C3	NA	NA	NA	NA	3	NA
8	KillCreek	8.9	4	0	0	0	0.1	2	NA	C	2020	C3	NA	NA	NA	NA	3	NA
9	KillCreek	7.1	5	0.1	2	0	0.1	3	NA	C	2020	C3	NA	NA	NA	NA	3	NA
10	KillCreek	7.3	6	0	0	0	2	2	NA	C	2020	C3	NA	NA	NA	NA	3	NA
11	KillCreek	7.5	9	0	0	0	1	4	dm2	C	2020	C3	NA	NA	NA	NA	3	NA
