Source_Region,Source,Disease,index
West,W1,Rust,0.059328775
West,W2,Rust,0.054218205
West,W3,Rust,-0.225251601
West,W4,Rust,-0.226617693
Central,C1,Rust,0.371815842
Central,C2,Rust,-0.444455953
Central,C3,Rust,0.153294536
Central,C4,Rust,0.226134971
East,E1,Rust,-0.210907641
East,E2,Rust,0.079771055
East,E3,Rust,-0.226580874
East,E4,Rust,0.195098542
West,W1,Blotch,-0.109730963
West,W2,Blotch,0.075543427
West,W3,Blotch,0.730620735
West,W4,Blotch,0.035841772
Central,C1,Blotch,0.095394254
Central,C2,Blotch,-0.227181693
Central,C3,Blotch,-0.243724049
Central,C4,Blotch,-0.093188607
East,E1,Blotch,-0.184171566
East,E2,Blotch,0.351800777
East,E3,Blotch,-0.184171566
East,E4,Blotch,-0.24703252
West,W1,VeinClearing,-0.002541437
West,W2,VeinClearing,0.283668001
West,W3,VeinClearing,0.548783977
West,W4,VeinClearing,0.397885596
Central,C1,VeinClearing,0.114246095
Central,C2,VeinClearing,-0.921683456
Central,C3,VeinClearing,0.060481951
Central,C4,VeinClearing,-0.238235984
East,E1,VeinClearing,0.035036622
East,E2,VeinClearing,-0.213984881
East,E3,VeinClearing,0.056071572
East,E4,VeinClearing,-0.14441042
West,W1,AllDisease,0.30214682
West,W2,AllDisease,0.46951766
West,W3,AllDisease,0.315512768
West,W4,AllDisease,0.189525984
Central,C1,AllDisease,0.224324645
Central,C2,AllDisease,-0.633109628
Central,C3,AllDisease,-0.095985449
Central,C4,AllDisease,-0.1863866
East,E1,AllDisease,-0.132324319
East,E2,AllDisease,-0.17447283
East,E3,AllDisease,-0.177901342
East,E4,AllDisease,-0.185435217
