allsilph_order	original_order	Location	plot_id	source_prairie	species	rep	row	column	directionheading	height_JUL_2020	mortality_JUL_2020	no_bolting_JUL_2020	grwth_stg_JUL_2020	vigor_JUL_2020	vigor_AUG_2020	random_num_2020	stem_dia_mm_JUL_2020	max_lig_JUL_2020	disc_dia_JUL_2020	num_stems_JUL_2020	pssev_JUL_2020	PSLERES_JUL_2020	STEMPS_JUL_2020	CLV_JUL_2020	notes_JUL_2020	maxlig_AUG_2020	disc_dia_AUG_2020	lf_lgth_AUG_2020	lf_width_AUG_2020	lf_thcknss_AUG_2020	num_flwrs_single_stlk_AUG_2020	stem_herb_2020	Floral_herb_AUG_2020	GALLWASP_AUG_2020	leaf_herb_AUG_2020	herb_other_AUG_2020	pssev_AUG_2020	PSLERES_AUG_2020	STEMPS_AUG_2020	lf_blotch_AUG_2020	dis_other_AUG_2020	Notes_AUG_2020	Notes_AUG	bolting_SEPT_2019	mortality_SEPT_2019	vigor_SEPT_2019	growth_stage_SEPT_2019	PSLESEV_SEPT_2019	PSLERES_SEPT_2019	PSSTSEV_SEPT_2019	BLLEBLSEV_SEPT_2019	PHSTSEV_SEPT_2019	CLVESEV_SEPT_2019	DM_SEPT_2019	notes_SEPT_2019
1	1	west	C2_SIL	C2	SIL	1	1	1	N	140	0	9	3.7	7	6	3	4.4	NA	NA	11	0	0	0	1	NA	17	5.65	9	5	0.865	18	0	10	0	5	0	0	0	0	0.5	NA	NA	NA	5	0	10	3.1	0.01	2	0	0	0	0	0	NA
2	2	west	C2_SIL	C2	SIL	1	1	1	N	NA	NA	NA	NA	NA	NA	5	4.2	NA	NA	6	1	2	2	1	NA	22	6.15	10.5	6	0.825	16	0	10	0	30	0	0.5	2	0.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	west	C2_SIL	C2	SIL	1	1	1	N	NA	NA	NA	NA	NA	NA	8	3.5	NA	NA	9	0.5	2	1	0	NA	15	5.65	10.5	5.5	0.845	21	1	10	0	30	apicalmeristemabortion	0.5	2	0.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	6	west	E3_SIL	E3	SIL	1	4	1	N	125	0	9	4.1	7	6	3	3.6	14	8.25	13	0.5	3	1	0	NA	NA	NA	9.5	5	0.96	25	0	5	0	10	0	1	0.5	2	1	NA	NA	NA	5	0	10	3.1	0.01	2	0	0	0	1	0	NA
5	7	west	E3_SIL	E3	SIL	1	4	1	N	NA	NA	NA	NA	NA	NA	7	3.35	14	8.1	13	2	2	2	2	NA	NA	NA	7	3.5	0.89	20	0	0	0	5	0	1	2	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	8	west	E3_SIL	E3	SIL	1	4	1	N	NA	NA	NA	NA	NA	NA	9	2.8	NA	NA	13	0.1	2	0.5	4	NA	15	5.55	7.5	3.5	0.883	15	2	5	0	10	0	0.1	2	0.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	9	west	W1_SIL	W1	SIL	1	5	1	N	120	0	8	6.7	5	5	1	2.7	29	7.95	16	5	3	5	1	NA	NA	NA	9	5	0.924	3	2	50	0	30	0	5	3	5	0	NA	NA	NA	1	0	8	1.7	0.2	2	0	0	0	0	4	NA
8	10	west	W1_SIL	W1	SIL	1	5	1	N	NA	NA	NA	NA	NA	NA	2	3.2	34	8.4	12	2	3	5	8	NA	NA	NA	11	4	0.878	4	3	30	20	40	0	2	2	2	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	11	west	W1_SIL	W1	SIL	1	5	1	N	NA	NA	NA	NA	NA	NA	6	2.75	24	7.5	8	10	3	5	8	NA	NA	NA	7	4	0.915	4	0	80	0	30	0	5	3	0.5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	13	west	W4_SIL	W4	SIL	1	7	1	N	125	1	8	5.5	5	5	2	2.95	NA	NA	7	20	4	10	8	NA	NA	5.8	12	3.5	0.71	1	0	20	20	50	0	20	3	5	0	NA	NA	NA	0	0	8	1.7	0.1	2	0	0	0	0	3	NA
