allsilph_order	original_order	Location	plot_id	source_prairie	species	rep	row	column	directionheading	height_JUL_2020	mortality_JUL_2020	no_bolting_JUL_2020	grwth_stg_JUL_2020	vigor_JUL_2020	vigor_2020	random_num_2020	stem_dia_mm_JUL_2020	max_lig_JUL_2020	disc_dia_JUL_2020	num_stems_JUL_2020	pssev_JUL_2020	PSLERES_JUL_2020	STEMPS_JUL_2020	CLV_JUL_2020	notes_JUL_2020	maxlig_AUG_2020	disc_dia_AUG_2020	lf_lgth_AUG_2020	lf_width_AUG_2020	lf_thcknss_AUG_2020	num_flwrs_single_stlk_AUG_2020	stem_herb_2020	Floral_herb_AUG_2020	GALLWASP_AUG_2020	leaf_herb_AUG_2020	herb_other_AUG_2020	pssev_AUG_2020	PSLERES_AUG_2020	STEMPS_AUG_2020	lf_blotch_AUG_2020	dis_other_AUG_2020	Notes_AUG_2020	Notes_AUG_2020	bolting_SEPT_2019	mortality_SEPT_2019	vigor_SEPT_2019	growth_stage_SEPT_2019	PSLESEV_SEPT_2019	PSLERES_SEPT_2019	PSSTSEV_SEPT_2019	BLLEBLSEV_SEPT_2019	PHSTSEV_SEPT_2019	CLVESEV_SEPT_2019	DM_SEPT_2019	notes_SEPT_2019	insertrows	AVG_Lig_2020	AVG_Disk_Dia_2020	Year
1	NA	west	C2_SIL	C2	SIL	1	1	1	N	140	0	9	3.7	7	6	NA	4.033333333	NA	NA	8.666666667	0.5	1.333333333	1	0.666666667	NA	18	5.816666667	10	5.5	0.845	18.33333333	0.333333333	10	0	21.66666667	0	0.333333333	1.333333333	0.333333333	0.166666667	NA	NA	NA	5	0	10	3.1	0.01	2	0	0	0	0	0	NA	Average	18	5.816666667	NA
2	NA	west	E3_SIL	E3	SIL	1	4	1	N	125	0	9	4.1	7	6	NA	3.25	14	8.175	13	0.866666667	2.333333333	1.166666667	2	NA	15	5.55	8	4	0.911	20	0.666666667	3.333333333	0	8.333333333	0	0.7	1.5	2.5	0.333333333	NA	NA	NA	5	0	10	3.1	0.01	2	0	0	0	1	0	NA	Average	14.5	6.8625	NA
3	NA	west	W1_SIL	W1	SIL	1	5	1	N	120	0	8	6.7	5	5	NA	2.883333333	29	7.95	12	5.666666667	3	5	5.666666667	NA	NA	NA	9	4.333333333	0.905666667	3.666666667	1.666666667	53.33333333	6.666666667	33.33333333	0	4	2.666666667	2.5	0.366666667	NA	NA	NA	1	0	8	1.7	0.2	2	0	0	0	0	4	NA	Average	29	7.95	NA
4	NA	west	W4_SIL	W4	SIL	1	7	1	N	125	1	8	5.5	5	5	NA	3.25	31.5	9.25	7.666666667	10	3.333333333	5.166666667	5.666666667	NA	NA	5.8	10.5	4	0.752	4	0	33.33333333	20	43.33333333	0	7.333333333	2.333333333	3	0	NA	NA	NA	0	0	8	1.7	0.1	2	0	0	0	0	3	NA	Average	31.5	7.525	NA
5	NA	west	W3_SIL	W3	SIL	1	8	1	N	115	0	9	6	6	5	NA	2.633333333	29	7.866666667	11	1.666666667	2.333333333	5	8.666666667	NA	NA	NA	8.833333333	2.833333333	0.829	4.333333333	0.333333333	20	3.333333333	46.66666667	0	0.833333333	2	4	0.033333333	NA	NA	NA	0	0	8	1.8	0.01	2	0	0	0	0	0.05	NA	Average	29	7.866666667	NA
6	NA	west	W2_SIL	W2	SIL	1	12	1	N	115	0	9	5.7	4	4	NA	2.6	32	7.583333333	7.666666667	1.166666667	3	2.333333333	8	NA	NA	NA	8.5	3.75	0.9265	2.666666667	0	15	3.333333333	20	0	0.533333333	2	2.166666667	10.16666667	NA	NA	NA	0	0	8	1.7	0.01	2	0	0.05	0	0	0.05	NA	Average	32	7.583333333	NA
7	NA	west	E4_SIL	E4	SIL	1	11	2	S	110	0	9	3.7	7	6	NA	2.583333333	NA	NA	17	2	2.666666667	5.666666667	2.666666667	NA	14	5.366666667	8.833333333	4.5	0.905666667	21	0	5	0	16.66666667	0	1	1.7	6.833333333	0	NA	NA	NA	2	0	10	1.9	0.2	2	0	0	0	0.01	0.1	NA	Average	14	5.366666667	NA
8	NA	west	C3_SIL	C3	SIL	1	10	2	S	125	0	9	3.7	8	7	NA	2.8	NA	NA	8	0.336666667	2	3.5	3.333333333	NA	23	5.15	10.16666667	5.5	0.893666667	16.33333333	0.666666667	15	0	40	0	0.366666667	1.333333333	7.333333333	3.333333333	NA	NA	NA	7	0	10	3.3	0.05	2	0	0	0	0	0.01	maybe_some_individuals_hybrid_with_perfoliatum	Average	23	5.15	NA
9	NA	west	C1_SIL	C1	SIL	1	1	3	N	125	0	9	6.5	6	6	NA	2.95	29.33333333	9	14	2.666666667	2.333333333	4.666666667	5.333333333	NA	NA	NA	7.833333333	4.166666667	0.864666667	6.333333333	0.333333333	5	15	16.66666667	NA	1	2	4.333333333	0	NA	NA	NA	0	0	10	1.9	0.2	1	0	0	0	0	1	response_.5_and_2	Average	29.33333333	9	NA
10	NA	west	C4_SIL	C4	SIL	1	9	3	N	125	0	9	5.5	7	6	NA	3.433333333	20.66666667	6.933333333	11.66666667	4.333333333	2.333333333	15	2.333333333	NA	NA	NA	11.33333333	6	0.937666667	23.66666667	1.5	6.666666667	10	33.33333333	NA	0.5	2	17.33333333	0	NA	nolowerleaves	nolowerleaves	2	0	10	2.3	0.5	2	0.01	0	0	0	0	some_have_hyper_sensitive_responce.	Average	20.66666667	6.933333333	NA
