allsilph_order	original_order	Location	plot_id	source_prairie	species	rep	row	column	directionheading	bolting	mortality	growthstage	vigor	leaf_rust	rust_responce	stem_rust	leaf_blotch	viral_symptoms	height_JUL_2020	no_bolting_JUL_2020	mortality_JUL_2020	grwth_stg_JUL_2020	vigor_2020	random_num_2020	stem_dia_mm_JUL_2020	max_lig_JUL_2020	disc_dia_JUL_2020	num_stems_JUL_2020	pssev_JUL_2020	PSLERES_JUL_2020	STEMPS_JUL_2020	CLV_JUL_2020	notes_JUL_2020	maxlig_AUG_2020	disc_dia_AUG_2020	lf_lgth_AUG_2020	lf_width_AUG_2020	lf_thcknss_AUG_2020	num_flwrs_single_stlk_AUG_2020	stem_herb_2020	Floral_herb_AUG_2020	GALLWASP_AUG_2020	leaf_herb_AUG_2020	herb_other_AUG_2020	pssev_AUG_2020	PSLERES_AUG_2020	STEMPS_AUG_2020	lf_blotch_AUG_2020	dis_other_AUG_2020	Notes_AUG_2020	Notes_AUG_2020	bolting_SEPT_2019	mortality_SEPT_2019	growth_stage_SEPT_2019	vigor_SEPT_2019	PSLESEV_SEPT_2019	PSLERES_SEPT_2019	PSSTSEV_SEPT_2019	BLLEBLSEV_SEPT_2019	PHSTSEV_SEPT_2019	CLVESEV_SEPT_2019	DM_SEPT_2019	notes_SEPT_2019	insertrows	AVG_Lig_2020	AVG_Disk_Dia_2020	Year	vigor_JUL_2020	original_region1	original_region
1	NA	west	C2_SIL	C2	SIL	1	1	1	N	9	0	3.7	6	0.333333333	1.333333333	0.333333333	0.166666667	0.666666667	140	9	0	3.7	6	NA	4.033333333	NA	NA	8.666666667	0.5	1.333333333	1	0.666666667	NA	18	5.816666667	10	5.5	0.845	18.33333333	0.333333333	10	0	21.66666667	0	0.333333333	1.333333333	0.333333333	0.166666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	5.816666667	2020	7	C	Central
1	NA	west	C2_SIL	C2	SIL	1	1	1	N	5	0	3.1	10	0.01	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	3.1	10	0.01	2	0	0	0	0	0	NA	NA	NA	NA	2019	NA	C	Central
2	NA	west	E3_SIL	E3	SIL	1	4	1	N	9	0	4.1	6	0.7	1.5	2.5	0.333333333	2	125	9	0	4.1	6	NA	3.25	14	8.175	13	0.866666667	2.333333333	1.166666667	2	NA	15	5.55	8	4	0.911	20	0.666666667	3.333333333	0	8.333333333	0	0.7	1.5	2.5	0.333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.5	6.8625	2020	7	E	East
2	NA	west	E3_SIL	E3	SIL	1	4	1	N	5	0	3.1	10	0.01	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	3.1	10	0.01	2	0	0	0	1	0	NA	NA	NA	NA	2019	NA	E	East
3	NA	west	W1_SIL	W1	SIL	1	5	1	N	8	0	6.7	5	4	2.666666667	2.5	0.366666667	5.666666667	120	8	0	6.7	5	NA	2.883333333	29	7.95	12	5.666666667	3	5	5.666666667	NA	NA	NA	9	4.333333333	0.905666667	3.666666667	1.666666667	53.33333333	6.666666667	33.33333333	0	4	2.666666667	2.5	0.366666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	7.95	2020	5	W	West
3	NA	west	W1_SIL	W1	SIL	1	5	1	N	1	0	1.7	8	0.2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1.7	8	0.2	2	0	0	0	0	4	NA	NA	NA	NA	2019	NA	W	West
4	NA	west	W4_SIL	W4	SIL	1	7	1	N	8	1	5.5	5	7.333333333	2.333333333	3	0	5.666666667	125	8	1	5.5	5	NA	3.25	31.5	9.25	7.666666667	10	3.333333333	5.166666667	5.666666667	NA	NA	5.8	10.5	4	0.752	4	0	33.33333333	20	43.33333333	0	7.333333333	2.333333333	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.5	7.525	2020	5	W	West
4	NA	west	W4_SIL	W4	SIL	1	7	1	N	0	0	1.7	8	0.1	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.7	8	0.1	2	0	0	0	0	3	NA	NA	NA	NA	2019	NA	W	West
5	NA	west	W3_SIL	W3	SIL	1	8	1	N	9	0	6	5	0.833333333	2	4	0.033333333	8.666666667	115	9	0	6	5	NA	2.633333333	29	7.866666667	11	1.666666667	2.333333333	5	8.666666667	NA	NA	NA	8.833333333	2.833333333	0.829	4.333333333	0.333333333	20	3.333333333	46.66666667	0	0.833333333	2	4	0.033333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	7.866666667	2020	6	W	West
5	NA	west	W3_SIL	W3	SIL	1	8	1	N	0	0	1.8	8	0.01	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.8	8	0.01	2	0	0	0	0	0.05	NA	NA	NA	NA	2019	NA	W	West
6	NA	west	W2_SIL	W2	SIL	1	12	1	N	9	0	5.7	4	0.533333333	2	2.166666667	10.16666667	8	115	9	0	5.7	4	NA	2.6	32	7.583333333	7.666666667	1.166666667	3	2.333333333	8	NA	NA	NA	8.5	3.75	0.9265	2.666666667	0	15	3.333333333	20	0	0.533333333	2	2.166666667	10.16666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	7.583333333	2020	4	W	West
6	NA	west	W2_SIL	W2	SIL	1	12	1	N	0	0	1.7	8	0.01	2	0	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.7	8	0.01	2	0	0.05	0	0	0.05	NA	NA	NA	NA	2019	NA	W	West
7	NA	west	E4_SIL	E4	SIL	1	11	2	S	9	0	3.7	6	1	1.7	6.833333333	0	2.666666667	110	9	0	3.7	6	NA	2.583333333	NA	NA	17	2	2.666666667	5.666666667	2.666666667	NA	14	5.366666667	8.833333333	4.5	0.905666667	21	0	5	0	16.66666667	0	1	1.7	6.833333333	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	5.366666667	2020	7	E	East
7	NA	west	E4_SIL	E4	SIL	1	11	2	S	2	0	1.9	10	0.2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	1.9	10	0.2	2	0	0	0	0.01	0.1	NA	NA	NA	NA	2019	NA	E	East
8	NA	west	C3_SIL	C3	SIL	1	10	2	S	9	0	3.7	7	0.366666667	1.333333333	7.333333333	3.333333333	3.333333333	125	9	0	3.7	7	NA	2.8	NA	NA	8	0.336666667	2	3.5	3.333333333	NA	23	5.15	10.16666667	5.5	0.893666667	16.33333333	0.666666667	15	0	40	0	0.366666667	1.333333333	7.333333333	3.333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	5.15	2020	8	C	Central
8	NA	west	C3_SIL	C3	SIL	1	10	2	S	7	0	3.3	10	0.05	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	0	3.3	10	0.05	2	0	0	0	0	0.01	maybe_some_individuals_hybrid_with_perfoliatum	NA	NA	NA	2019	NA	C	Central
9	NA	west	C1_SIL	C1	SIL	1	1	3	N	9	0	6.5	6	1	2	4.333333333	0	5.333333333	125	9	0	6.5	6	NA	2.95	29.33333333	9	14	2.666666667	2.333333333	4.666666667	5.333333333	NA	NA	NA	7.833333333	4.166666667	0.864666667	6.333333333	0.333333333	5	15	16.66666667	NA	1	2	4.333333333	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.33333333	9	2020	6	C	Central
9	NA	west	C1_SIL	C1	SIL	1	1	3	N	0	0	1.9	10	0.2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.9	10	0.2	1	0	0	0	0	1	response_.5_and_2	NA	NA	NA	2019	NA	C	Central
10	NA	west	C4_SIL	C4	SIL	1	9	3	N	9	0	5.5	6	0.5	2	17.33333333	0	2.333333333	125	9	0	5.5	6	NA	3.433333333	20.66666667	6.933333333	11.66666667	4.333333333	2.333333333	15	2.333333333	NA	NA	NA	11.33333333	6	0.937666667	23.66666667	1.5	6.666666667	10	33.33333333	NA	0.5	2	17.33333333	0	NA	nolowerleaves	nolowerleaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.66666667	6.933333333	2020	7	C	Central
10	NA	west	C4_SIL	C4	SIL	1	9	3	N	2	0	2.3	10	0.5	2	0.01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2.3	10	0.5	2	0.01	0	0	0	0	some_have_hyper_sensitive_responce.	NA	NA	NA	2019	NA	C	Central
11	NA	west	E2_SIL	E2	SIL	1	10	3	N	9	0	4.5	6	0.166666667	0.666666667	0.666666667	0.003333333	2.333333333	120	9	0	4.5	6	NA	3.25	NA	NA	13.66666667	0.333333333	0.666666667	0.5	2.333333333	NA	17	5.65	8.5	4.333333333	0.767333333	21	NA	0	0	8.333333333	NA	0.166666667	0.666666667	0.666666667	0.003333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	5.65	2020	8	E	East
11	NA	west	E2_SIL	E2	SIL	1	10	3	N	4	0	2.1	10	0.02	2	0.01	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	2.1	10	0.02	2	0.01	0	0	0.02	0	NA	NA	NA	NA	2019	NA	E	East
12	NA	west	E1_SIL	E1	SIL	1	11	3	N	9	0	4.6	7	0	0	0	0.006666667	2.333333333	110	9	0	4.6	7	NA	3.4	20	7.2	13.66666667	0.033333333	0.666666667	0.166666667	2.333333333	NA	15	5.625	9.5	4.5	0.789333333	20.66666667	NA	1.666666667	0	15	NA	0	0	0	0.006666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.5	6.4125	2020	7	E	East
12	NA	west	E1_SIL	E1	SIL	1	11	3	N	7	0	3.1	10	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	0	3.1	10	0	0	0	0	0	0.02	0.01	NA	NA	NA	NA	2019	NA	E	East
13	NA	west	E3_SIL	E3	SIL	2	11	4	N	9	0	4.9	6	0	0	0	0	4	115	9	0	4.9	6	NA	1.366666667	13.5	6.25	9.333333333	0.066666667	1.333333333	0.033333333	4	NA	14	5.275	8	3.333333333	0.858333333	21.66666667	NA	3.333333333	0	26.66666667	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.75	5.7625	2020	6	E	East
13	NA	west	E3_SIL	E3	SIL	2	11	4	N	5	0	3.5	9	0.01	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	3.5	9	0.01	2	0	0	0	0.02	0.02	NA	NA	NA	NA	2019	NA	E	East
14	NA	west	W3_SIL	W3	SIL	2	10	5	S	9	0	6.5	5	0.666666667	2	1.666666667	0.233333333	6.666666667	115	9	0	6.5	5	NA	1.766666667	23.66666667	5.833333333	9.666666667	2.666666667	2.333333333	5.666666667	6.666666667	NA	NA	NA	9.166666667	3.5	0.876666667	5	NA	26.66666667	3.333333333	23.33333333	NA	0.666666667	2	1.666666667	0.233333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.66666667	5.833333333	2020	4	W	West
14	NA	west	W3_SIL	W3	SIL	2	10	5	S	2	0	2.1	10	0.02	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2.1	10	0.02	2	0	0	0	0	0.02	NA	NA	NA	NA	2019	NA	W	West
15	NA	west	C4_SIL	C4	SIL	2	8	5	S	9	0	5.2	6	0.533333333	2	18.33333333	0	3.666666667	130	9	0	5.2	6	NA	1.933333333	19	6.675	9.666666667	2.666666667	2.333333333	15	3.666666667	NA	19	6.05	9.166666667	4.833333333	0.78	22.33333333	NA	10	0	20	NA	0.533333333	2	18.33333333	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	6.3625	2020	6	C	Central
15	NA	west	C4_SIL	C4	SIL	2	8	5	S	2	0	2	10	0.2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	10	0.2	2	0	0	0	0	0	NA	NA	NA	NA	2019	NA	C	Central
16	NA	west	E4_SIL	E4	SIL	2	6	5	S	8	1	4.5	5	1.666666667	2.333333333	15	0	5.333333333	110	8	1	4.5	5	NA	1.4	12	6.2	15	7	3	10.66666667	5.333333333	NA	14	5.5	9	3.5	0.915	7.666666667	NA	20	0	40	NA	1.666666667	2.333333333	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	5.85	2020	5	E	East
16	NA	west	E4_SIL	E4	SIL	2	6	5	S	1	1	1.9	10	0.01	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1.9	10	0.01	2	0	0	0	0.01	0.02	NA	NA	NA	NA	2019	NA	E	East
17	NA	west	W2_SIL	W2	SIL	2	3	5	S	9	0	7	6	2.166666667	2.666666667	3	0.533333333	7	125	9	0	7	6	NA	2.1	36	8.183333333	8.666666667	8.333333333	3.333333333	3	7	NA	NA	NA	8.5	3.833333333	0.894333333	6.333333333	NA	26.66666667	10	53.33333333	NA	2.166666667	2.666666667	3	0.533333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	8.183333333	2020	6	W	West
17	NA	west	W2_SIL	W2	SIL	2	3	5	S	1	0	1.9	9	0.02	2	0	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1.9	9	0.02	2	0	0.01	0	0	0	NA	NA	NA	NA	2019	NA	W	West
18	NA	west	C2_SIL	C2	SIL	2	1	6	N	9	0	4.7	7	0.066666667	1.333333333	5.033333333	1.666666667	1.666666667	135	9	0	4.7	7	NA	2.816666667	18	6.425	8.666666667	1.033333333	2	5.2	1.666666667	NA	23	6.2	9.5	5.333333333	0.884333333	14	NA	6.666666667	5	40	NA	0.066666667	1.333333333	5.033333333	1.666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5	6.3125	2020	8	C	Central
18	NA	west	C2_SIL	C2	SIL	2	1	6	N	5	0	3.1	10	0.02	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	3.1	10	0.02	2	0	0	0	0.02	0	NA	NA	NA	NA	2019	NA	C	Central
19	NA	west	E1_SIL	E1	SIL	2	2	6	N	9	0	4.5	7	0.166666667	0.666666667	0.033333333	0.666666667	5.333333333	120	9	0	4.5	7	NA	2.083333333	19	7.3	11.66666667	0.666666667	0.166666667	0.666666667	5.333333333	NA	13.5	4.925	9.166666667	4	0.837333333	16.33333333	NA	6.666666667	0	13.33333333	NA	0.166666667	0.666666667	0.033333333	0.666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.25	6.1125	2020	7	E	East
19	NA	west	E1_SIL	E1	SIL	2	2	6	N	6	0	3.7	10	0.01	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	3.7	10	0.01	2	0	0	0	0.1	0	NA	NA	NA	NA	2019	NA	E	East
20	NA	west	E2_SIL	E2	SIL	2	5	6	N	9	0	4.3	6	0.75	2	5.5	0.3	2	120	9	0	4.3	6	NA	1.766666667	16	6.55	14	0.703333333	1.833333333	3.333333333	2	NA	16	4.7	10.66666667	4.75	0.766	12	NA	16.66666667	1.666666667	56.66666667	NA	0.75	2	5.5	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	5.625	2020	7	E	East
20	NA	west	E2_SIL	E2	SIL	2	5	6	N	4	0	2.5	9	0.01	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	2.5	9	0.01	2	0	0	0	0.2	0	NA	NA	NA	NA	2019	NA	E	East
21	NA	west	C3_SIL	C3	SIL	2	6	6	N	9	0	4	7	0.533333333	2	5.666666667	2.5	4	130	9	0	4	7	NA	2.166666667	18	5.3	8.666666667	1.35	2	8.333333333	4	NA	23	4.7	9.5	5.333333333	0.800666667	19.33333333	NA	1.666666667	0	36.66666667	NA	0.533333333	2	5.666666667	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5	5	2020	7	C	Central
21	NA	west	C3_SIL	C3	SIL	2	6	6	N	9	0	3.9	10	0.01	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	0	3.9	10	0.01	2	0	0	0	0.1	0	NA	NA	NA	NA	2019	NA	C	Central
22	NA	west	C1_SIL	C1	SIL	2	7	6	N	8	1	6.7	5	2.333333333	2.666666667	24	0.1	5.333333333	120	8	1	6.7	5	NA	1.85	24	6	12.66666667	21.66666667	3	23.33333333	5.333333333	NA	NA	NA	9.166666667	4.5	0.994333333	6	NA	23.33333333	28.33333333	60	NA	2.333333333	2.666666667	24	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	6	2020	5	C	Central
22	NA	west	C1_SIL	C1	SIL	2	7	6	N	0	0	1.8	10	0.2	2	0	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.8	10	0.2	2	0	0.2	0	0.01	0.01	NA	NA	NA	NA	2019	NA	C	Central
23	NA	west	W4_SIL	W4	SIL	2	9	6	N	9	0	6.3	5	0.5	2	1.333333333	3.5	7.333333333	120	9	0	6.3	5	NA	1.933333333	33	8.375	8.333333333	4	2.166666667	3.666666667	7.333333333	NA	NA	6.75	9.666666667	3.5	0.895333333	5.666666667	NA	41.66666667	8.333333333	45	NA	0.5	2	1.333333333	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	7.5625	2020	4	W	West
23	NA	west	W4_SIL	W4	SIL	2	9	6	N	1	0	1.8	8	0.01	2	0	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1.8	8	0.01	2	0	0.5	0	0	0.2	NA	NA	NA	NA	2019	NA	W	West
24	NA	west	W1_SIL	W1	SIL	2	10	6	N	9	0	6.5	6	1.666666667	2.333333333	1	3.833333333	5.666666667	130	9	0	6.5	6	NA	2.5	27.33333333	7.983333333	9	4	3	1.666666667	5.666666667	NA	NA	NA	10.16666667	4.5	0.773333333	5.333333333	NA	20	25	28.33333333	NA	1.666666667	2.333333333	1	3.833333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.33333333	7.983333333	2020	6	W	West
24	NA	west	W1_SIL	W1	SIL	2	10	6	N	0	0	0.8	9	0.02	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0.8	9	0.02	2	0	0	0	0	0.1	NA	NA	NA	NA	2019	NA	W	West
25	NA	west	E3_SIL	E3	SIL	3	4	7	N	9	0	4.7	6	0.066666667	1.333333333	4	4.033333333	4.333333333	130	9	0	4.7	6	NA	2.516666667	15.5	6.3	18.33333333	0.7	1.666666667	3.333333333	4.333333333	NA	12	5.5	9.833333333	4	0.807	27	NA	1.666666667	0	13.33333333	NA	0.066666667	1.333333333	4	4.033333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.75	5.9	2020	6	E	East
25	NA	west	E3_SIL	E3	SIL	3	4	7	N	4	0	2.3	10	0.05	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	2.3	10	0.05	2	0	0	0	0.1	0.01	NA	NA	NA	NA	2019	NA	E	East
